xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_268,2017-03-06,7.56,,,plantcat_8,12084
detail_269,2017-12-11,5.04,,,plantcat_9,19418
detail_270,2019-08-29,17,,,,10382
detail_271,2015-03-30,2.8,,,plantcat_8,12526
detail_272,2017-10-06,1.94,,,plantcat_9,10987
detail_273,2015-02-26,16.25,,,plantcat_8,20308
detail_274,2017-10-26,2.65,,,plantcat_9,10994
detail_275,2017-03-24,69.6,,,plantcat_8,10660
detail_276,2017-09-15,45.24,,,plantcat_8,10660
detail_277,2016-03-23,77.43,,,plantcat_8,21770
detail_278,2015-03-03,139.65,,,plantcat_8,21772
detail_279,2015-10-05,0.38,,,plantcat_8,10980
detail_280,2016-03-21,69.02,,,plantcat_8,12577
detail_281,2016-09-08,5.46,,,plantcat_8,19806
detail_282,2017-08-25,2.74,,,plantcat_9,12529
detail_283,2012-12-21,27.54,,,plantcat_8,19812
detail_284,2014-12-10,68.9,,,plantcat_8,19812
detail_285,2019-09-11,2.16,,,plantcat_8,11547
detail_286,2011-07-01,9.6,,,plantcat_8,19838
detail_287,2013-07-01,0.96,,,plantcat_8,19838
detail_288,2015-08-01,3.3,,,plantcat_8,19838
detail_289,2014-12-01,10.13,,,plantcat_8,21617
detail_290,2017-08-18,84.96,,,plantcat_8,21626
detail_291,2015-03-17,19.65,,,plantcat_8,9977
detail_292,2015-07-22,49.08,,,plantcat_8,9977
detail_293,2015-07-02,10.4,,,plantcat_9,21657
detail_294,2017-03-28,10.73,,,plantcat_8,11337
detail_295,2017-03-21,4.36,,,plantcat_9,12210
detail_296,2019-08-30,49,,,,11041
detail_297,2012-09-06,8.02,,,plantcat_9,19856
detail_298,2017-08-18,2.69,,,plantcat_9,19856
detail_299,2015-09-26,5.63,,,plantcat_8,19862
detail_300,2017-08-20,12,,,plantcat_8,11544
detail_301,2017-10-11,4.04,,,plantcat_9,9809
detail_302,2016-09-29,137.27,,,plantcat_8,12831
detail_303,2016-12-02,7.2,,,plantcat_9,9995
detail_304,2019-04-10,17.4,,,plantcat_8,19914
detail_305,2017-12-22,0.4,,,plantcat_9,9799
detail_306,2016-08-17,4.48,,,plantcat_9,19944
detail_307,2016-09-26,30.2,,,plantcat_9,19954
detail_308,2016-12-21,6.21,,,plantcat_8,9890
detail_309,2015-04-28,2.35,,,plantcat_8,19975
detail_310,2020-11-04,29,,,,14623
detail_311,2017-09-05,1.97,,,plantcat_9,20002
detail_312,2018-04-10,1.55,,,plantcat_9,12127
detail_313,2020-03-24,13.29,,,plantcat_9,20033
detail_314,2018-09-19,8.44,,,plantcat_9,11094
detail_315,2017-10-09,1.2,,,plantcat_9,11234
detail_316,2020-06-22,6.18,,,plantcat_8,13085
detail_317,2015-03-24,3.5,,,plantcat_8,20077
detail_318,2017-07-28,2.27,,,plantcat_9,20097
detail_319,2017-12-29,13.98,,,plantcat_9,9781
detail_320,2017-09-14,0.65,,,plantcat_9,12992
detail_321,2012-09-26,70,,,plantcat_8,12998
detail_322,2015-07-24,66.3,,,plantcat_8,12998
detail_323,2017-07-31,1.7,,,plantcat_9,9948
detail_324,2010-04-28,2.55,,,plantcat_9,11162
detail_325,2017-11-15,1.47,,,plantcat_9,11162
detail_326,2020-07-01,5.17,,,plantcat_8,20122
detail_327,2017-02-09,3.48,,,plantcat_8,10545
detail_328,2013-10-15,25.88,,,plantcat_8,13002
detail_329,2015-12-17,26.52,,,plantcat_8,20148
detail_330,2017-06-14,104.7,,,plantcat_8,21884
detail_331,2018-02-16,0.6,,,plantcat_9,21930
detail_332,2012-09-28,186.56,,,plantcat_9,21965
detail_333,2017-08-29,34.98,,,plantcat_9,21965
detail_334,2012-02-20,115.67,,,plantcat_8,21977
detail_335,2015-03-27,102.82,,,plantcat_8,21977
detail_336,2018-07-13,18.4,,,,9745
detail_337,2017-03-06,19.62,,,plantcat_8,13086
detail_338,2017-11-28,1.47,,,plantcat_9,22000
detail_339,2017-11-16,1.94,,,plantcat_9,11116
detail_340,2017-02-13,0.96,,,plantcat_9,11180
detail_341,2015-02-27,20.5,,,plantcat_9,10230
detail_342,2017-08-02,13.42,,,plantcat_8,22075
detail_343,2009-01-28,9,,,plantcat_8,9736
